history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;MOEX10;2021-01-08;Индекс МосБиржи 10;Индекс МосБиржи 10;5624,34;5571,11;5664,34;5571,11;89948235783,1;0;0;2;12627566308917,037;RUB;5391,010000
SNDX;MOEX10;2021-01-06;Индекс МосБиржи 10;Индекс МосБиржи 10;5545,92;5553,84;5563,43;5509,13;45049876033,6;0;0;2;12326784465883,268;RUB;5391,010000
SNDX;MOEX10;2021-01-05;Индекс МосБиржи 10;Индекс МосБиржи 10;5525,9;5484,06;5537,47;5433,1;44286285244,3;0;0;2;12260408891969,043;RUB;5391,010000
SNDX;MOEX10;2021-01-04;Индекс МосБиржи 10;Индекс МосБиржи 10;5520,24;5417,63;5523,06;5416,37;42753406514,8;0;0;2;12262082565255,283;RUB;5391,010000
SNDX;MOEX10;2020-12-30;Индекс МосБиржи 10;Индекс МосБиржи 10;5376,78;5360,73;5393,18;5345,82;38256557107,6;0;0;2;12003402189838,908;RUB;5391,010000
SNDX;MOEX10;2020-12-29;Индекс МосБиржи 10;Индекс МосБиржи 10;5356,16;5329,64;5368,52;5329,64;33096092294,1;0;0;2;11931087268558,422;RUB;5391,010000
SNDX;MOEX10;2020-12-28;Индекс МосБиржи 10;Индекс МосБиржи 10;5316,14;5303,7;5332,02;5298,29;28387917494;0;0;2;11856666654107,023;RUB;5391,010000
SNDX;MOEX10;2020-12-25;Индекс МосБиржи 10;Индекс МосБиржи 10;5295,23;5289,22;5297,44;5275,52;9462669848;0;0;2;11811703214706,049;RUB;5391,010000
SNDX;MOEX10;2020-12-24;Индекс МосБиржи 10;Индекс МосБиржи 10;5288,29;5322,65;5341,13;5276,86;31915838392,3;0;0;2;11786240776914,885;RUB;5391,010000
SNDX;MOEX10;2020-12-23;Индекс МосБиржи 10;Индекс МосБиржи 10;5316,22;5261,49;5323,21;5251,46;43014246672,6;0;0;2;11881009624617,453;RUB;5391,010000
SNDX;MOEX10;2020-12-22;Индекс МосБиржи 10;Индекс МосБиржи 10;5286,95;5214,27;5316,8;5207,2;70090993150,8;0;0;2;11798424728972,525;RUB;5391,010000
SNDX;MOEX10;2020-12-21;Индекс МосБиржи 10;Индекс МосБиржи 10;5232,76;5331,59;5331,59;5189,92;92198893000,5;0;0;2;11627577456360,445;RUB;5391,010000
SNDX;MOEX10;2020-12-18;Индекс МосБиржи 10;Индекс МосБиржи 10;5369,72;5385,15;5389,96;5331,37;90045825382,3;0;0;2;11995753879699,021;RUB;5391,010000
SNDX;MOEX10;2020-12-17;Индекс МосБиржи 10;Индекс МосБиржи 10;5391,01;5379,37;5450,84;5373,64;95579831399,4;0;0;2;11849407561882,05;RUB;5009,220000
SNDX;MOEX10;2020-12-16;Индекс МосБиржи 10;Индекс МосБиржи 10;5362,67;5350,54;5378,82;5313,42;58818326354,65;0;0;2;11762766488864,03;RUB;5009,220000
SNDX;MOEX10;2020-12-15;Индекс МосБиржи 10;Индекс МосБиржи 10;5336,71;5326,89;5386,9;5307,28;60401487209,95;0;0;2;11659149314594,533;RUB;5009,220000
SNDX;MOEX10;2020-12-14;Индекс МосБиржи 10;Индекс МосБиржи 10;5335,81;5398,95;5446,37;5322,17;81540720674,15;0;0;2;11713951881509,2;RUB;5009,220000
SNDX;MOEX10;2020-12-11;Индекс МосБиржи 10;Индекс МосБиржи 10;5373,9;5359,57;5392,61;5327,97;71378146244,65;0;0;2;11838214399724,207;RUB;5009,220000
SNDX;MOEX10;2020-12-10;Индекс МосБиржи 10;Индекс МосБиржи 10;5360,61;5238;5360,61;5230,77;64761871552,25;0;0;2;11715411347897,059;RUB;5009,220000
SNDX;MOEX10;2020-12-09;Индекс МосБиржи 10;Индекс МосБиржи 10;5267,02;5244,27;5301,85;5235,09;54959077991,25;0;0;2;11493112307117,37;RUB;5009,220000
SNDX;MOEX10;2020-12-08;Индекс МосБиржи 10;Индекс МосБиржи 10;5236,51;5255,85;5268,48;5183,55;57197213439,7;0;0;2;11376073214077,32;RUB;5009,220000
SNDX;MOEX10;2020-12-07;Индекс МосБиржи 10;Индекс МосБиржи 10;5273,62;5263,4;5300,79;5236,7;58058501977,2;0;0;2;11433100406705,727;RUB;5009,220000
