<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,20050819,000000,2020.0000000,2038.0000000,2013.3000000,2032.0100000,442541
GMKN,D,20050822,000000,2034.9500000,2055.4200000,2005.9800000,2030.4000000,730734
GMKN,D,20050823,000000,2037.8100000,2042.5000000,2017.0000000,2024.0800000,293086
GMKN,D,20050824,000000,2023.5000000,2033.0000000,2010.0000000,2027.0000000,426013
GMKN,D,20050825,000000,2022.0100000,2028.0000000,2010.0000000,2016.3600000,275080
GMKN,D,20050826,000000,2017.1800000,2032.0000000,2006.0000000,2021.0000000,471463
GMKN,D,20050829,000000,2015.0100000,2026.8800000,2008.0000000,2023.0000000,264052
GMKN,D,20050830,000000,2012.0600000,2061.3000000,2012.0600000,2036.2000000,732165
GMKN,D,20050831,000000,2035.9900000,2045.0000000,2007.0000000,2035.2000000,481682
GMKN,D,20050901,000000,2040.0500000,2090.0000000,2031.0000000,2076.8800000,679965
GMKN,D,20050902,000000,2087.0000000,2146.9900000,2085.0000000,2143.0000000,991261
GMKN,D,20050905,000000,2154.8100000,2175.0000000,2133.9000000,2153.6700000,869450
GMKN,D,20050906,000000,2150.0300000,2158.8000000,2074.1100000,2089.0000000,1242444
GMKN,D,20050907,000000,2097.5000000,2115.0000000,2027.0100000,2054.0000000,1112455
GMKN,D,20050908,000000,2061.0000000,2089.8000000,2031.0000000,2080.0000000,621858
GMKN,D,20050909,000000,2105.7500000,2144.0000000,2081.0000000,2131.8900000,622015
GMKN,D,20050912,000000,2136.8800000,2149.7500000,2110.0000000,2122.0000000,416255
GMKN,D,20050913,000000,2081.5100000,2140.0000000,2081.5100000,2115.0000000,351792
GMKN,D,20050914,000000,2108.5000000,2124.5000000,2075.2000000,2124.5000000,320500
GMKN,D,20050915,000000,2126.0000000,2134.2000000,2115.1100000,2124.9000000,300986
GMKN,D,20050916,000000,2120.0000000,2120.0000000,2078.0400000,2090.0000000,472755
GMKN,D,20050919,000000,2082.0000000,2157.9700000,2082.0000000,2135.0000000,812713
GMKN,D,20050920,000000,2140.0000000,2199.0000000,2096.7000000,2125.0200000,667868
GMKN,D,20050921,000000,2121.5000000,2142.0000000,2090.0000000,2142.0000000,467646
GMKN,D,20050922,000000,2155.0000000,2222.0000000,2137.0000000,2169.0000000,1188270
GMKN,D,20050923,000000,2169.7500000,2198.9000000,2153.0000000,2166.0200000,492258
GMKN,D,20050926,000000,2155.0000000,2159.7000000,2128.0000000,2140.0000000,262418
GMKN,D,20050927,000000,2143.7300000,2256.9700000,2143.7300000,2255.0000000,1270450
GMKN,D,20050928,000000,2255.0600000,2279.0000000,2218.0200000,2268.0000000,844161
GMKN,D,20050929,000000,2280.0000000,2297.0000000,2231.5000000,2236.0000000,591505
GMKN,D,20050930,000000,2249.9400000,2277.9000000,2249.9400000,2260.0100000,286706
GMKN,D,20051003,000000,2260.6100000,2349.0000000,2239.0000000,2345.0000000,573930
GMKN,D,20051004,000000,2350.0000000,2373.8800000,2333.0000000,2352.0100000,1010712
GMKN,D,20051005,000000,2335.0000000,2335.0000000,2244.0000000,2250.0000000,909919
GMKN,D,20051006,000000,2229.2500000,2229.2500000,2103.7300000,2111.1100000,896070
GMKN,D,20051007,000000,2113.0600000,2142.0000000,2085.0000000,2107.0000000,481480
GMKN,D,20051010,000000,2114.5500000,2168.0000000,2114.5500000,2159.0000000,457377
GMKN,D,20051011,000000,2150.0000000,2219.0000000,2131.7800000,2214.9000000,534629
GMKN,D,20051012,000000,2220.0000000,2240.0000000,2112.0100000,2124.0000000,503350
GMKN,D,20051013,000000,2105.7800000,2137.5000000,2051.0000000,2079.9700000,735392
GMKN,D,20051014,000000,2071.0500000,2084.7500000,2000.5000000,2024.0000000,702957
GMKN,D,20051017,000000,2107.0000000,2107.0000000,1982.0100000,2040.9900000,468472
GMKN,D,20051018,000000,2057.0000000,2078.8400000,2022.3200000,2027.5800000,315397
GMKN,D,20051019,000000,1999.4600000,1999.4600000,1932.1200000,1935.0500000,692134
GMKN,D,20051020,000000,1964.3900000,1991.0000000,1930.2000000,1943.0000000,389315
GMKN,D,20051021,000000,1902.5000000,1984.3600000,1890.0000000,1968.0000000,556303
GMKN,D,20051024,000000,1941.2500000,2055.1000000,1941.2500000,2021.0000000,618498
GMKN,D,20051025,000000,2046.5000000,2059.9000000,1991.2200000,2028.0000000,569947
GMKN,D,20051026,000000,2034.5000000,2059.0000000,2008.8800000,2038.0000000,269569
GMKN,D,20051027,000000,2035.5000000,2040.0000000,1976.0000000,1988.7000000,407897
GMKN,D,20051028,000000,1980.0000000,2028.0000000,1965.0000000,2016.0000000,181008
GMKN,D,20051031,000000,2028.0000000,2095.5000000,2018.0000000,2093.0000000,469807
GMKN,D,20051101,000000,2098.0000000,2147.0000000,2085.0200000,2116.8900000,702392
GMKN,D,20051102,000000,2124.6200000,2177.0000000,2121.0700000,2169.0000000,442414
GMKN,D,20051103,000000,2180.0000000,2187.0000000,2127.0400000,2149.0000000,424061
GMKN,D,20051107,000000,2130.0000000,2195.0000000,2112.0000000,2161.0000000,373442
GMKN,D,20051108,000000,2157.2500000,2203.8900000,2145.0000000,2189.0000000,386346
GMKN,D,20051109,000000,2209.0000000,2238.8800000,2180.1200000,2204.9000000,499358
GMKN,D,20051110,000000,2210.0000000,2227.0000000,2190.0200000,2200.0200000,556889
GMKN,D,20051111,000000,2198.9200000,2210.0000000,2190.0000000,2191.0000000,406559
GMKN,D,20051114,000000,2168.8800000,2243.0000000,2161.0000000,2234.0000000,343302
GMKN,D,20051115,000000,2234.0200000,2239.9900000,2210.0000000,2223.5000000,252203
GMKN,D,20051116,000000,2222.0000000,2265.0000000,2211.0000000,2264.0000000,465364
GMKN,D,20051117,000000,2280.0000000,2350.5500000,2280.0000000,2331.3000000,787364
GMKN,D,20051118,000000,2335.0000000,2385.0000000,2316.0000000,2375.0500000,720404
GMKN,D,20051121,000000,2391.0000000,2421.0000000,2354.5000000,2355.0000000,795257
GMKN,D,20051122,000000,2375.0000000,2391.5000000,2315.0000000,2315.0000000,857928
GMKN,D,20051123,000000,2323.9900000,2343.0000000,2308.6200000,2325.0000000,360578
GMKN,D,20051124,000000,2328.0000000,2413.0000000,2328.0000000,2410.0000000,546854
GMKN,D,20051125,000000,2412.0000000,2484.0000000,2387.0000000,2483.0000000,1026438
GMKN,D,20051128,000000,2491.0000000,2526.9900000,2455.0000000,2460.0000000,961862
GMKN,D,20051129,000000,2459.0000000,2468.0000000,2421.6600000,2441.1500000,718653
GMKN,D,20051130,000000,2438.8000000,2445.0000000,2413.0100000,2431.0000000,605379
GMKN,D,20051201,000000,2439.9000000,2497.0000000,2435.0000000,2496.0000000,784990
GMKN,D,20051202,000000,2519.0000000,2568.0000000,2476.0100000,2551.0000000,1243859
GMKN,D,20051205,000000,2551.0000000,2576.0000000,2497.2500000,2532.0000000,717761
GMKN,D,20051206,000000,2542.0000000,2554.0000000,2485.0000000,2510.2400000,615581
GMKN,D,20051207,000000,2524.8500000,2540.0000000,2497.0000000,2511.0000000,771131
GMKN,D,20051208,000000,2495.0000000,2495.0000000,2427.0000000,2480.0000000,606810
GMKN,D,20051209,000000,2499.9900000,2514.9800000,2440.1000000,2480.0000000,591653
GMKN,D,20051212,000000,2496.0700000,2534.7500000,2481.1200000,2522.0000000,450670
GMKN,D,20051213,000000,2523.0000000,2525.8700000,2500.8500000,2513.9900000,273101
GMKN,D,20051214,000000,2516.0000000,2521.0000000,2471.1100000,2502.1500000,458145
GMKN,D,20051215,000000,2502.5000000,2507.9700000,2461.1000000,2470.0000000,539758
GMKN,D,20051216,000000,2464.1200000,2479.0000000,2450.0000000,2459.0000000,421496
GMKN,D,20051219,000000,2459.0000000,2478.0000000,2443.0100000,2470.0000000,275915
GMKN,D,20051220,000000,2471.0000000,2493.9000000,2455.0000000,2488.7400000,288638
GMKN,D,20051221,000000,2495.0000000,2519.5000000,2490.0000000,2513.9000000,488089
GMKN,D,20051222,000000,2517.4700000,2597.0000000,2517.0000000,2589.9900000,866103
GMKN,D,20051223,000000,2596.0500000,2617.0000000,2579.0000000,2579.0000000,642580
GMKN,D,20051226,000000,2590.0000000,2614.9800000,2565.0200000,2568.0000000,189269
GMKN,D,20051227,000000,2568.0000000,2588.7700000,2555.0000000,2560.0000000,260960
GMKN,D,20051228,000000,2550.0000000,2574.9900000,2538.0100000,2550.0000000,411278
GMKN,D,20051229,000000,2550.0000000,2574.0000000,2545.0000000,2553.0000000,280657
GMKN,D,20051230,000000,2561.9900000,2585.0000000,2550.0000000,2557.5300000,124228
GMKN,D,20060110,000000,2488.4900000,2523.9300000,2283.0300000,2357.0000000,580657
GMKN,D,20060111,000000,2350.0000000,2358.7300000,2247.0000000,2262.1000000,498041
GMKN,D,20060112,000000,2256.9800000,2269.7900000,2221.7700000,2232.1000000,341395
GMKN,D,20060113,000000,2225.0000000,2230.0000000,2130.5000000,2150.0000000,470655
GMKN,D,20060116,000000,2155.0000000,2255.0000000,2155.0000000,2235.0000000,552078
GMKN,D,20060117,000000,2250.0000000,2290.0000000,2162.0000000,2200.0000000,544184
GMKN,D,20060118,000000,2167.0000000,2218.0000000,2145.0000000,2182.0100000,521705
GMKN,D,20060119,000000,2179.0000000,2273.0000000,2175.0000000,2269.9900000,949882
GMKN,D,20060120,000000,2280.0000000,2348.7100000,2262.0300000,2343.0000000,820836
GMKN,D,20060123,000000,2335.0000000,2354.0000000,2270.0000000,2318.1300000,484110
GMKN,D,20060124,000000,2320.0300000,2358.9900000,2300.0000000,2338.2000000,578686
GMKN,D,20060125,000000,2343.4700000,2384.0000000,2306.0200000,2383.0000000,636059
GMKN,D,20060126,000000,2375.0000000,2498.0000000,2373.0000000,2456.0100000,1179118
GMKN,D,20060127,000000,2485.0000000,2534.9700000,2479.0000000,2534.8900000,816271
GMKN,D,20060130,000000,2548.9000000,2570.3300000,2440.0000000,2462.5000000,737967
GMKN,D,20060131,000000,2470.5000000,2496.9900000,2381.2200000,2410.9800000,728188
