<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,D,20050412,000000,47.5000000,47.6500000,46.5500000,47.2990000,1084700
TATN,D,20050413,000000,47.2990000,47.7000000,46.7000000,46.7000000,1293600
TATN,D,20050414,000000,47.3450000,47.3500000,45.7300000,46.8600000,1435600
TATN,D,20050415,000000,46.7500000,47.1500000,46.2000000,46.7000000,558200
TATN,D,20050418,000000,45.6150000,46.2690000,45.4000000,45.7800000,590900
TATN,D,20050419,000000,46.3000000,47.0000000,46.2050000,46.9000000,867900
TATN,D,20050420,000000,47.0300000,48.2800000,46.8000000,47.6100000,1845000
TATN,D,20050421,000000,47.6940000,48.3700000,47.5000000,48.3000000,630200
TATN,D,20050422,000000,48.4500000,48.8770000,48.1100000,48.5500000,829500
TATN,D,20050425,000000,48.5500000,49.4200000,48.1000000,48.5000000,811700
TATN,D,20050426,000000,48.5200000,48.7440000,47.0000000,47.2600000,549600
TATN,D,20050427,000000,47.5310000,47.7000000,46.2500000,46.2500000,740200
TATN,D,20050428,000000,46.2600000,47.4940000,46.2600000,46.5100000,695700
TATN,D,20050429,000000,46.6500000,46.9790000,46.0510000,46.5500000,436500
TATN,D,20050503,000000,46.8000000,47.0000000,45.7500000,46.0840000,427900
TATN,D,20050504,000000,46.1050000,46.5700000,46.1050000,46.3270000,214200
TATN,D,20050505,000000,46.4870000,47.7750000,46.4870000,46.7710000,816700
TATN,D,20050506,000000,46.8180000,47.0000000,46.4200000,46.6400000,308300
TATN,D,20050511,000000,46.8440000,46.8440000,45.9000000,45.9400000,562400
TATN,D,20050512,000000,45.7600000,45.8500000,44.0000000,44.6000000,1100300
TATN,D,20050513,000000,44.0000000,44.6000000,43.0100000,44.5000000,621600
TATN,D,20050514,000000,44.5010000,44.9790000,44.4000000,44.7000000,354300
TATN,D,20050516,000000,44.7500000,44.7500000,43.6000000,44.0500000,865500
TATN,D,20050517,000000,44.4060000,46.8950000,44.1900000,46.7000000,1453900
TATN,D,20050518,000000,46.7000000,46.7000000,46.1000000,46.4200000,552400
TATN,D,20050519,000000,46.6220000,46.6860000,46.1530000,46.3000000,348500
TATN,D,20050520,000000,46.1000000,46.3980000,45.1000000,46.3000000,673900
TATN,D,20050523,000000,46.3700000,46.4330000,45.1000000,45.3900000,728600
TATN,D,20050524,000000,45.5500000,47.2000000,45.2100000,46.6800000,1819100
TATN,D,20050525,000000,46.6800000,46.9480000,46.0000000,46.2000000,693300
TATN,D,20050526,000000,46.1510000,47.0500000,46.1510000,46.7500000,1170400
TATN,D,20050527,000000,47.5000000,47.5000000,46.6010000,47.0000000,1426900
TATN,D,20050530,000000,47.0100000,47.1400000,46.5200000,46.9600000,610200
TATN,D,20050531,000000,46.4060000,48.2500000,46.4060000,48.2500000,1005700
TATN,D,20050601,000000,48.4090000,48.6000000,47.8500000,48.2000000,1588900
TATN,D,20050602,000000,48.5960000,49.3000000,48.5960000,49.1000000,1541800
TATN,D,20050603,000000,49.3200000,49.8250000,49.1500000,49.7980000,1032700
TATN,D,20050606,000000,49.7170000,50.3900000,48.8600000,50.3800000,3518300
TATN,D,20050607,000000,50.4160000,51.3900000,50.0000000,51.2000000,4159600
TATN,D,20050608,000000,51.2130000,52.7500000,51.1100000,52.6950000,3560900
TATN,D,20050609,000000,51.6620000,52.4000000,51.3010000,51.6000000,919400
TATN,D,20050610,000000,51.7000000,52.4900000,51.1900000,51.4000000,1771200
TATN,D,20050614,000000,52.3200000,52.3200000,51.6750000,51.7900000,1082800
TATN,D,20050615,000000,52.0000000,52.0700000,51.1500000,51.5430000,1081500
TATN,D,20050616,000000,51.9060000,52.4600000,51.5100000,51.6200000,1428200
TATN,D,20050617,000000,52.0950000,52.1400000,51.3360000,52.1000000,963700
TATN,D,20050620,000000,52.2500000,52.3900000,51.8210000,52.0000000,1031200
TATN,D,20050621,000000,51.8000000,51.9000000,50.8140000,51.2770000,1095800
TATN,D,20050622,000000,51.2290000,51.8890000,50.8510000,51.6000000,1170400
TATN,D,20050623,000000,51.8460000,51.8460000,51.3000000,51.4500000,504800
TATN,D,20050624,000000,51.3000000,51.5880000,51.0600000,51.4400000,579700
TATN,D,20050627,000000,51.4400000,51.5000000,50.9020000,51.2000000,902700
TATN,D,20050628,000000,51.4250000,51.6990000,50.1030000,51.5790000,1827700
TATN,D,20050629,000000,51.6010000,52.0000000,51.2800000,51.8980000,1357200
TATN,D,20050630,000000,52.0000000,53.1500000,51.8010000,52.9120000,2730800
TATN,D,20050701,000000,52.9120000,54.2000000,52.5030000,53.9900000,1302500
TATN,D,20050704,000000,54.2000000,56.0500000,54.1100000,55.6000000,2407200
TATN,D,20050705,000000,55.9500000,56.0000000,54.6200000,55.3970000,1065800
TATN,D,20050706,000000,53.8140000,57.1990000,53.8140000,56.8000000,1863000
TATN,D,20050707,000000,57.0100000,59.3500000,56.0000000,57.9840000,3546800
TATN,D,20050708,000000,58.2000000,58.7500000,56.9520000,57.5120000,1577100
TATN,D,20050711,000000,55.8680000,57.6000000,55.8680000,56.8780000,955100
TATN,D,20050712,000000,56.0500000,56.9900000,56.0100000,56.3500000,1024100
TATN,D,20050713,000000,56.7500000,57.4900000,56.5000000,57.2400000,1610500
TATN,D,20050714,000000,57.1700000,57.5000000,56.7000000,56.8750000,850400
TATN,D,20050715,000000,56.8750000,56.8750000,55.0120000,56.0000000,1046400
TATN,D,20050718,000000,55.9400000,56.8000000,55.8600000,56.2800000,420200
TATN,D,20050719,000000,56.1350000,56.7000000,55.5110000,56.6000000,1084000
TATN,D,20050720,000000,56.6470000,57.8300000,56.6470000,57.3100000,1823900
TATN,D,20050721,000000,57.3500000,57.8200000,56.5000000,56.5530000,1776400
TATN,D,20050722,000000,56.7000000,57.7500000,56.3580000,57.3010000,351700
TATN,D,20050725,000000,57.3010000,59.2400000,57.3010000,58.8000000,2176100
TATN,D,20050726,000000,58.8300000,59.0000000,57.5000000,58.5000000,997300
TATN,D,20050727,000000,58.6000000,58.8500000,57.7400000,58.4000000,1352100
TATN,D,20050728,000000,58.4500000,59.3000000,58.4100000,59.1900000,864200
TATN,D,20050729,000000,59.2250000,59.8500000,58.6100000,59.0900000,1001200
TATN,D,20050801,000000,58.9750000,58.9750000,57.8500000,58.5530000,867400
TATN,D,20050802,000000,59.0800000,59.5000000,58.7200000,59.1900000,1227100
TATN,D,20050803,000000,59.5980000,59.9000000,58.0200000,58.8900000,2262800
TATN,D,20050804,000000,58.7500000,59.7000000,58.1500000,59.2010000,1125900
TATN,D,20050805,000000,59.8500000,60.0000000,58.8300000,59.1650000,2054800
TATN,D,20050808,000000,59.2000000,59.6900000,59.0120000,59.4010000,887700
TATN,D,20050809,000000,59.7500000,60.3900000,59.1500000,60.2010000,2303900
TATN,D,20050810,000000,60.5200000,60.8900000,59.7110000,60.5000000,1404300
TATN,D,20050811,000000,60.9500000,61.4850000,59.6000000,59.8990000,1337900
TATN,D,20050812,000000,59.9000000,60.3990000,59.0300000,59.8000000,839400
TATN,D,20050815,000000,59.6880000,60.9000000,59.6880000,60.7000000,573200
TATN,D,20050816,000000,60.9000000,67.4870000,60.7070000,67.2750000,2380400
TATN,D,20050817,000000,67.2780000,68.4000000,66.1000000,67.1200000,1930700
TATN,D,20050818,000000,66.3150000,67.4980000,64.8000000,65.9100000,1032800
TATN,D,20050819,000000,65.4800000,65.9000000,65.1000000,65.8000000,895900
TATN,D,20050822,000000,65.8500000,66.9800000,65.3000000,66.4000000,1199300
TATN,D,20050823,000000,66.8500000,66.8500000,65.5000000,65.7000000,353700
TATN,D,20050824,000000,65.5050000,65.9400000,64.0500000,65.5000000,1922500
TATN,D,20050825,000000,65.7500000,67.5000000,65.0000000,67.0000000,1996000
TATN,D,20050826,000000,66.5720000,67.3500000,66.4000000,67.2000000,1061000
TATN,D,20050829,000000,67.3200000,68.7300000,66.6510000,68.6600000,1106400
TATN,D,20050830,000000,70.5370000,71.9890000,68.7000000,71.0040000,2196300
TATN,D,20050831,000000,71.0030000,71.5000000,69.3000000,70.7500000,1657100
TATN,D,20050901,000000,70.7380000,71.4000000,70.2500000,70.8990000,780600
TATN,D,20050902,000000,72.0000000,73.7000000,71.1000000,72.7000000,1684900
TATN,D,20050905,000000,73.5000000,74.6770000,72.5000000,72.7100000,1600900
TATN,D,20050906,000000,72.5300000,72.5300000,68.7330000,69.1000000,1658000
TATN,D,20050907,000000,68.4050000,69.7000000,66.3000000,68.0000000,2010300
TATN,D,20050908,000000,68.0500000,72.3000000,67.7100000,70.8500000,5124800
TATN,D,20050909,000000,70.9500000,73.9380000,70.9500000,73.9380000,1157600
TATN,D,20050912,000000,73.9950000,73.9950000,72.2000000,72.2000000,1207200
TATN,D,20050913,000000,72.1250000,73.5600000,70.1220000,71.4990000,1274900
TATN,D,20050914,000000,71.5000000,71.9000000,70.2300000,71.7500000,620200
TATN,D,20050915,000000,71.7500000,73.4690000,71.7500000,73.2100000,976500
TATN,D,20050916,000000,73.0000000,75.0000000,72.3000000,74.6700000,1682800
TATN,D,20050919,000000,74.3350000,78.0000000,73.5020000,77.7700000,1596500
TATN,D,20050920,000000,78.8000000,82.0000000,77.0000000,78.6890000,2173500
